"aud_rank","pdf_rank","case","author","discipline","product","description"
465,453,"Esmark, Inc. (A)","William E. Fruhan; Ernesto Cruz","Finance","283013-PDF-ENG","Involves the management of a firm with a market value of a going concern that is less than its breakup value. How does management maximize value for shareholders in this environment?"
466,454,"Real Property Negotiation Game: Lender Case, Porus Bank","Arthur I Segel; John H. Vogel Jr.","Finance","209031-PDF-ENG","The Real Property Negotiation Game simulates the experience negotiating the sale, purchase, or financing of a property. The class competes as either a lender, buyer, or one of two groups of sellers, Raleigh, North Carolina and Las Vegas, Nevada. The lender case for the Real Property Negotiation Game. Porus Bank must decide to which buyers they must learn and at what terms."
467,455,"Fortress Investment Group","Malcolm P. Baker; Carlos Galvez; James Quinn","Finance","208080-PDF-ENG","CEO Wesley Edens and the five Fortress principals are contemplating a move unprecedented in the industry: Becoming the first hedge fund and private equity firm to complete an IPO on the New York Stock Exchange (NYSE). This case examines potential reasons for a leading alternative investment firm to go public, including the firm's own rationale relating to ""people, permanence, currency, and capital,"" while also providing analyst expectations regarding target valuation and initial stock performance."
468,456,"The Big Easy, Not So Easy","Nicolas P. Retsinas; Arthur I Segel; Ben Creo","Finance","208068-PDF-ENG","Enterprise Community Partners must determine whether to rebuild the Lafitte housing projects in hurricane-ravaged New Orleans, and if so, how to mitigate the risks. Set in January 2007, more than a year after Hurricane Katrina made landfall, the case examines how Enterprise has a number of environmental, contractual, reputational, and legal risks to overcome in making the project a success. Given these risks, Enterprise is unsure whether to rebuild in New Orleans at all, and whether to renovate the site or redevelop it into a mixed-income community."
469,457,"FAG Kugelfischer : A German Restructuring","Stuart C. Gilson","Finance","298046-PDF-ENG","A large German manufacturer of ball bearings and precision machinery experiences severe financial difficulty brought on by poor management practices, an ill-conceived acquisition of a former East German ball-bearings company, and an industry recession. The company hires a German professional turnaround manager who in past turnarounds of German firms has engaged in ""U.S.-style"" corporate downsizing practices including massive layoffs and asset sales."
470,458,"Penelope's Personal Pocket Phones","Paul A. Gompers","Finance","299004-PDF-ENG","Provides students with an opportunity to use simple real options analysis to value a startup. Penelope Phillips is deciding whether to start a company to make wireless phones. Students get experience using traditional discounted cash flow valuation and a real options approach."
471,459,"Communications Satellite Corp.","David W. Mullins Jr.","Finance","276195-PDF-ENG","Describes the FCC hearings which were designed to determine Comsat's cost of equity. Comsat's risks are examined, and expert testimony is given. Objective of the case is to estimate Comsat's cost of equity."
472,460,"Leveraged Loans 2007","Andre F. Perold; Erik Stafford","Finance","208145-PDF-ENG","The leveraged loan market was in a crisis during the summer of 2007, following many years of low realized volatility (less than 4% per annum), an index of leveraged loans had fallen over 5% in the month of July. A sudden drop in capital market prices for an asset class can be caused by news affecting fundamental values; or by a widespread liquidity shock. The implication of a shock to fundamental value is that the price drop is permanent, whereas if the underlying cause of the price drop is caused by a liquidity event, the situation may represent a profitable investment opportunity. Investors must assess the likely cause of the recent price drops in the leveraged loan market and determine an appropriate investment strategy."
473,461,"Momentive Performance Materials, Inc.","Victoria Ivashina; David S. Scharfstein","Finance","210081-PDF-ENG","After nearly violating its loan covenants in 2009, Momentive Performance Materials, backed by its financial sponsor Apollo Global Management, took a variety of actions to restructure its debt. The restructuring steps included an open market repurchase of publicly held notes; a notes exchange; a loan-covenant waiver; and, finally, an attempted loan amendment that sought to extend the maturity of the loan used to finance the Momentive buyout. This case allows students to see different debt-restructuring options in one setting. The case protagonist is a fund investment manager at a large hedge fund that holds 3 percent of Momentive's syndicated loan. The decision point in the case is whether the investor should vote to amend the loan. The perspective of the investor allows students to understand tensions underlying the restructuring process. The case serves as a vehicle for discussing contractual and institutional differences between public debt and syndicated loans, and challenges in the restructuring of such debt."
474,462,"Partners Healthcare","Joshua D Coval","Finance","206005-PDF-ENG","Focuses on the portfolio allocation decision of a passive fund manager. Provides a setting to study portfolio theory, including mean-variance analysis, the capital market line, and the efficient frontier. "
475,463,"Who Broke the Bank of England?","Niall Ferguson; Jonathan Schlefer","Finance","709026-PDF-ENG","In the summer of 1992, hedge fund manager George Soros was contemplating the possibility that the European Exchange Rate Mechanism (ERM) would break down. Designed to pave the way for a full-scale European Monetary Union, the ERM was a system of fixed exchange rates linking together twelve members of the European Union, including Britain, France, Germany, and Italy. However, the impact of German reunification after 1989 had created significant strains within the system. Moreover, financial deregulation and the growth of cross-border flows of ""hot"" money increased the likelihood that a speculative attack on one or more ERM currencies might succeed. Soros had to decide which currencies to bet against. The Italian lira? The British pound? The French franc? Or all three? The result could determine the success or failure of the project for a single European currency."
476,464,"Czech Mate: CME and Vladimir Zelezny (A)","Mihir A. Desai; Kathleen Luchs; Alberto Moel","Finance","204118-PDF-ENG","This case examines how insiders can expropriate value from shareholders in emerging markets when property rights are ill-defined. As such, it provides a platform for considering how institutions and legal rules impact financing patterns and economic outcomes. CME, controlled by the former U.S. Ambassador to Austria, Ronald Lauder, and its Czech partners win the bidding for the first private broadcast frequency with national coverage in the Czech Republic in 1993. After the entity succeeds dramatically, the primary Czech partner wants to sell his share in the operating company. CME must decide whether to buy the stake and at what price."
477,465,"British Telecommunications, PLC","Scott P. Mason; Sally E. Durdan","Finance","286105-PDF-ENG","Presents a description of international equity markets, including comparisons of the U.S., Japanese, and British markets and recent trends toward deregulation of these markets. The decision focus of the case is on the initial public offerings of British Telecommunications stock. The offering was part of a broader privatization program begun by the U.K. government in 1981. The issue was offered simultaneously in four markets: London, New York, Tokyo, and Toronto. The case is written from the perspective of Morgan Stanley, underwriters of the U.S. offering, and focuses on the issues of pricing foreign equities, differences in underwriting practices and securities regulations across markets, structuring an installment sale of equity, and hedging foreign exchange risk on a purchase of foreign equities."
478,466,"Friendly Cards, Inc.","William E. Fruhan","Finance","293135-PDF-ENG","Involves analysis of a major capital investment proposal, an acquisition of another company, an estimate of the funds required for these two possible outlays, and a recommended course of management action."
479,467,"Aluminium Bahrain (Alba): The Pot Line 5 Expansion Project","Benjamin C. Esty; Aldo Sesia","Finance","205027-PDF-ENG","In September 2002, Aluminium Bahrain (Alba) needed to decide how to finance its proposed $1.7 billion pot line. The company's financial adviser, Taylor De-Jongh (TDJ), had recommended Alba employ a multisourced financing strategy using as many as five sources of debt from international, regional, and local capital pools. TDJ believed that the strategy would generate competition among the lenders which, in turn, would save Alba millions in financing costs. But the multisourced financing strategy went against the grain of typical project financings in the Middle East and was not without its risks. Alba management must decide how many financing sources to use, which ones, and how much to get from each one. If the market rejects the multisourced financing strategy, the project might become tainted, which could jeopardize Alba's long-term growth objectives."
480,468,"Rick's Dilemma","Arthur I Segel; Charles F Wu; Siddharth Yog; Ben Eppler","Finance","215006-PDF-ENG","In 2014, Rick is serving as a trustee for a large family trust whose principle asset is a plot of prime real estate in the Upper East Side of Manhattan. The land is currently subject to a ground lease which pays $4.6 million annually, with resets every 20 years at 4.5% of the appraised value of the land. The next reset is in 2022, and in the meantime Rick must make a decision on whether it might be better for the trust's beneficiaries to sell the land early. If so, what price should he seek?"
481,469,"Investitori Associati: Exiting the Savio LBO (A)","Josh Lerner; Dino Cattaneo; Giampiero Mazza","Finance","299048-PDF-ENG","Investitori Associati seeks to exit a leveraged buyout investment. Choosing the appropriate way in which to undertake their exit-an initial public offering or sale of the firm-proves problematic."
482,470,"Pershing Square 2.0","Robin Greenwood; Samuel G. Hanson; David Biery","Finance","216003-PDF-ENG","In June 2015 William A. Ackman, the CEO and Founder of New York Hedge Fund Pershing Square Capital, reflects on the success of the fund he has spent over a decade building. Since its inception in 2004, Pershing Square's assets under management had grown from $500 million to well over $18 billion. Ackman is now considering a sizable new portfolio position and must decide how he should raise capital to undertake this new investment. This choice is affected by the recent launch of his new, $6 billion closed-end vehicle, Pershing Square Holdings, as well as the firm's lengthening investment horizon. Although always activist in nature, Ackman and his fund had in recent years become substantively involved in the management of portfolio companies, often working to drive shareholder value by improving operating performance."
483,471,"Consolidated Edison Co. (Abridged)","Thomas R. Piper","Finance","275116-PDF-ENG","Faced with large external financing needs and a low stock price, Con Ed management must decide whether to pay a cash dividend in April 1974. Based on Consolidated Edison by G.C. Lodge."
484,472,"Health Development Corp.","Richard S. Ruback","Finance","200049-PDF-ENG","Health Development Corp. (HDC) owns and operates health clubs in the Greater Boston area. HDC engaged a local investment banker to explore a sale of the company. The most likely buyer views HDC's prior purchase of real estate as a negative. HDC's management is convinced the purchase enhanced value, and a discounted cash flow analysis confirms that it was a substantially positive net present value decision. Nevertheless, the real estate reduces the valuation according to the approach used by the potential buyer. The challenge is to structure a transaction that allows HDC to realize its full value."
485,473,"Warner Music Group","Nabil N. El-Hage","Finance","207068-PDF-ENG","TH Lee, a leading private equity firm, needs to decide whether to commit to the acquisition of AOL Time Warner's music group, and whether to commit the entire amount needed, $1.4 billion. The music industry has suffered greatly in recent years, largely as a result of music piracy. "
486,474,"WL Ross and Plascar","C. Fritz Foley; Linnea Meyer","Finance","209091-PDF-ENG","How can distressed investors take advantage of the procedures governing an international bankruptcy? Wilbur L. Ross, chairman and CEO of the private equity firm WL Ross & Co., LLC, has the opportunity to bid for debt and equity claims on Plascar Industria e Comercio Ltda., the Brazilian subsidiary of the bankrupt global auto components company Collins & Aikman Corp. In evaluating this opportunity, students must analyze Ross's strategy to reshape a global industry with significant overcapacity, consider the opportunities created by the legal procedures that govern cross-border insolvencies, study a debt overhang problem, and consider how restructuring alternatives can address this problem."
487,475,"Citigroup 2007: Financial Reporting and Regulatory Capital","Edward J. Riedl; Suraj Srinivasan; Sharon Katz","Finance","111041-PDF-ENG",""
488,476,"Jinwoong: Financing an Entrepreneurial Firm in the Wake of the Korean Financial Crisis","Walter Kuemmerle; James Lee; Bokeun Jin","Finance","803059-PDF-ENG","Describes T.P. Lee, the founder and CEO of Jinwoong, a 19-year-old entrepreneurial company in Korea that has grown to become the world's largest manufacturer of camping tents. Labeled by Fortune as one of the most promising entrepreneurs in Asia in 1993, Lee faces some serious management challenges by October 1998. Largely due to the Korean financial crisis of 1997-98, Lee must rethink the financing and expansion plans for his firm. To deal with these challenges, he could seek outside funding from two different groups of private equity investors or from a corporate restructuring fund set up by the Korean government. All of these decisions reflect Jinwoong's long-term strategy and Lee's assessment of the different offers."
489,477,"Citibank Hong Kong: Capital Arbitrage in the Emerging Markets","Sanjiv Das","Finance","298029-PDF-ENG","Describes how a credit derivative may be used to structure a profitable transaction between a bank and its client. Design and risk management issues are discussed in the context of this new class of derivative security."
490,478,"Medco Energi Internasional","Belen Villalonga; Raphael Amit; Chris Hartman","Finance","207021-PDF-ENG","In late 2004, Hilmi Panigoro, CEO of the publicly traded Indonesian oil company Medco Energi Internasional, is striving to regain majority control of the company his brother Arifin founded in 1980. The Asian financial crisis of 1999 led to a major restructuring that left the Panigoros with a 34.1% equity stake in Medco. Two other large shareholders are now looking to sell their combined stake of the 50.9% and have selected Temasek, the Singapore government's investment arm, as their preferred bidder. The Panigoros have a right of first refusal, but only a four-month window to raise the capital needed to head off Temasek's bid. The Panigoro brothers are considering a two-stage plan: a leveraged buyout to be followed by a secondary equity offering at a share price high enough to enable them to repay the loan and maintain majority control of their company. As attractive as the plan seems, they worry about the high cost of the loan and the risk that the offering might fail. In January 2005, with no time left to consider alternative financing plans, the Panigoro brothers have to decide whether to go ahead with the plan or lose control of Medco to Temasek."
491,479,"Goodyear Restructuring","Paul Asquith","Finance","288046-PDF-ENG","Features a firm with a strong, successful, clearly-defined product market strategy. In 1982, this strategy was augmented by new management to include other, conflicting goals. This has an immediate negative impact on the stock market's evaluation of Goodyear's stock and attracts the attention of corporate raider Sir James Goldsmith. In an attempt to ensure independence, Goodyear management responds by returning the firm to its previous investment strategy: selling off new investment, dramatically increasing debt, and repurchasing stock. The case emphasizes that the firm with the greatest potential value gain is most vulnerable to a takeover attempt."
492,480,"Phu My Hung","John D. Macomber; Dawn Lau","Finance","213098-PDF-ENG","Privately held city development promoters decide whether to partner on next phase or go it alone in 20 year, 4000 acre project. Set outside of Ho Chi Minh City, Vietnam, this decades long project led by two Taiwanese families reshaped and built the economic environment of Vietnam's financial capital. The promoters had a long term vision and left very substantial capital invested for a very long time. This allowed them to follow a master plan that was resource efficient, economically attractive, and environmentally friendly (largely due to major up front investments in power and water infrastructure). This project was promoted by industrialists with a system view and patient capital, as compared to governments with limited execution capability or real estate investors with limited capital and a shorter time horizon. The dilemma in the case is about whether or not to partner with an outside retail real estate firm in order to reduce execution and lease-up risk in a proposed new shopping mall; or whether to go it alone with the promoters's own capital doing it the promoter's own way. This expands into a discussion of the same historic choices in the project, and whether the promoters realized a below market return for their methodology. The project is quite successful and transformational today, so the opposite question can also be drawn out: is this the preferred means for promoting multiple new sustainable and competitive cities around the world, with long view private promoters in lieu of government alone and in lieu of real estate developers alone?"
493,481,"Cypress Sharpridge: Raising Capital in a Time of Crisis","Lena G. Goldberg; Adam Nebesar","Finance","310140-PDF-ENG","Cypress Sharpridge, a REIT investing in agency securities, launched its IPO just before the collapse of the subprime mortgage market. The IPO failed. In June 2009, an IPO window seemed to be opening. Should the company try again? CEO Kevin Grant knew that his company's survival depended on differentiating itself from discredited real estate investment strategies and raising permanent capital. But if its IPO failed again, the company might lose any remaining credibility and be forced to fold."
494,482,"Pitcairn Family Heritage(R) Fund","Belen Villalonga","Finance","208073-PDF-ENG","The Pitcairn Family Heritage(R) fund invests primarily in companies controlled by their founding family or a related foundation. The fund was launched in 1989 by Pitcairn Trust, the family office of the descendents of Pittsburgh Plate Glass (PPG) founder John Pitcairn. The fund has delivered good long-term returns since its inception, but in recent years it has underperformed its benchmarks by a considerable margin."
495,483,"First American Bank: Credit Default Swaps","George Chacko; Eli Peter Strick","Finance","203033-PDF-ENG","This case examines a bank's ability to manage its credit exposure to a particular client using credit default swaps."
496,484,"Managing Change at Axis Bank (A)","Paul M. Healy; Rachna Tahilyani","Finance","114082-PDF-ENG","Axis Bank is India's third largest private sector bank. In April 2009, Shikha Sharma, an outsider, was appointed as its CEO. She took over from a person who had overseen ten years of rapid growth at the bank. The selection of an outsider as the new CEO surprised many inside and outside the bank. Sharma changed the bank's hierarchical culture, strengthened the core team by appointing new talent where needed, sought to build its core processes and infrastructure, and filled several gaps in its business portfolio. Despite these changes, the stock market continues to undervalue Axis Bank compared with its chief rivals. In light of this, Axis Bank needs to figure out what more it needs to do to ensure that the market values the franchise correctly."
497,485,"Cephalon, Inc.","Peter Tufano; Geoffrey Verter; Markus F. Mullarkey","Finance","298116-PDF-ENG","In early 1997, Cephalon, awaited an FDA panel's decision on whether its drug, Myotrophin, would be approved. If the drug was approved, the firm might need substantial additional funds to commercialize as well as to buy back rights to it (which had been sold earlier to finance its development). The firm's CFO is considering a variety of financing strategies, including buying call options on the firm's own stock and paying for those options by issuing shares at the current time."
498,486,"Vodafone AirTouch's Bid for Mannesmann","Simi Kedia","Finance","201096-PDF-ENG","Vodafone's bid for Mannesmann was the largest ever cross-border hostile bid. This case examines the economic, financial, and corporate governance issues in the deal."
499,487,"State of Connecticut Municipal Swap","Andre F. Perold; Joel Barber","Finance","291024-PDF-ENG","The state of Connecticut wants to raise $325 million of long-term fixed-rate debt. One alternative is to do this synthetically--issue long-term variable rate debt and enter into an interest rate swap. The case is a vehicle for analyzing various floating rate structures and various kinds of swaps. Also raises issues relating to the default risk of swaps, as well as the term structure of the tax exempt and taxable debt markets."
500,488,"Martingale Asset Management LP in 2008, 130/30 Funds, and a Low-Volatility Strategy","Luis M. Viceira; Helen H. Tung","Finance","209047-PDF-ENG","In early July of 2008, William (Bill) Jacques, Chief Investment Officer at Martingale Asset Management, a quantitative value-oriented investment manager in Boston, Massachusetts, was busy preparing for an upcoming meeting with the group that made new product decisions within the firm. The objective of the meeting was to review the backtesting and real-time investment results of a new minimum-variance strategy within the framework of a 130/30 fund. The performance results were very encouraging, but Bill still wondered if they were a fluke of the data, a result of data mining rather than the reflection of a true market anomaly. He wanted to discuss several possible explanations of the phenomenon, and to decide whether Martingale should offer the strategy to its clients."
501,489,"Advising on Currency Risk at ICICI Bank","George Chacko; Marti G. Subrahmanyam; Vincent Dessain; Anders Sjoman","Finance","205074-PDF-ENG","In March 2003, a client approached the Markets Advisory Group at ICICI Bank, India's second largest bank, about a hedging transaction. The hedge involved multiple interest rates and currencies. Shilpa Kumar, head of the Markets Advisory Group, has to put together a recommendation for the client. She can choose from a number of financial instruments, including swaps, options, and futures contracts on interest rates and currencies, in her recommendation."
502,490,"Growing Up in China: The Financing of BabyCare Ltd.","Mihir A. Desai; Mark F. Veblen","Finance","204029-PDF-ENG","The CFO of this infant nutritional products company must choose among competing financing offers. The interplay of Chinese legal and customs restrictions and venture capitalists' bargaining techniques challenge the CFO to navigate a tricky negotiation and to devise a unique business model given these constraints. The case provides a valuation exercise and highlights some of the difficult questions a discerning venture capitalist might ask, requiring the CFO to justify his overall business model and working capital needs. To obtain executable spreadsheets (courseware), please contact our customer service department at custserv@hbsp.harvard.edu."
503,491,"Student Educational Loan Fund, Inc. (Abridged)","Peter Tufano; Cameron Poetzscher","Finance","201083-PDF-ENG","Rick Melnick oversees the Student Educational Loan Fund (SELF), which provides loans to Harvard Business School students. SELF is changing the terms of student loans from variable-rate with semiannual payments to fixed-rate loans with equal monthly payments. Melnick must decide how to finance SELF in light of the new loan mix. SELF can use a wide range of interest rate derivative products to modify the terms of its existing financing."
504,492,"Transparent Value LLC","Sharon Katz; Krishna G. Palepu; Aldo Sesia","Finance","108069-PDF-ENG","Leading index company Dow Jones recently signed a license and joint marketing agreement with Transparent Value LLC, the creator of a new fundamentals-based valuation methodology. The agreement allowed Dow Jones to offer a family of indexes based on the Transparent Value methodology. The methodology viewed stock prices as the clearest and most reliable signals of the market's expectations about a company's future performance, and employed a Reverse Discounted Cash Flow (RDCF) valuation model to calculate the revenue required to support a given stock price for a given company. Then, the methodology applied a probability that the company would achieve the needed revenues in the next 12 months, based on its recent track record. Moreover, the methodology endeavored for specificity. For example, when possible, Transparent Value strove to determine what the company needed to do in its business activities to achieve the required revenues. Called ""business performance requirements,"" these could include the number of new store openings, or the number of product unit sales needed, as two examples. The fictitious case protagonist, a business development manager at a leading money management firm, is looking to launch an exchange-traded fund (ETF) using a fundamentals-based index as the underlying index. She needs to decide whether to base her ETF products on the Dow Jones - Transparent Value indexes. The case study provides an overview of equity indexes and ETF's and a step-by-step description of Transparent Value's methodology."
505,493,"Mars, Inc.: From Candy to Renewable Energy? (A)","John D. Macomber; Sue Yang","Finance","216072-PDF-ENG",""
506,494,"Long-Term Capital Management, L.P. (A)","Andre F. Perold","Finance","200007-PDF-ENG","Long-Term Capital Management, L.P. (LTCM) was in the business of engaging in trading strategies to exploit market pricing discrepancies. Because the firm employed strategies designed to make money over long horizons--from six months to two years or more--it adopted a long--term financing structure designed to allow it to withstand short-term market fluctuations. In many of its trades, the firm was in effect a seller of liquidity. LTCM generally sought to hedge the risk--exposure components of its positions that were not expected to add incremental value to portfolio performance and to increase the value-added component of its risk exposures by borrowing to increase the size of its positions. The fund's positions were diversified across many markets. This case is set in September 1997, when, after three and a half years of high investment returns, LTCM's fund capital had grown to $6.7 billion. Because of the limitations imposed by available market liquidity, LTCM was considering whether it was a prudent and opportune moment to return capital to investors."
507,495,"Venture Capital Vignettes: Difficult Financings","G. Felda Hardymon; Ann Leamon","Finance","809003-PDF-ENG","These three short vignettes depict investment professionals considering difficult financings for companies in their portfolios. For one reason or another, each company has under-performed expectations. Should the protagonist recommend that the firm participate or not, or should he try to revise it? Can the firm exercise any influence, and are the potential gains worth the time and effort that will be required?"
508,496,"First National Bank of Westhaven (A)","Warren A. Law; Samuel L. Hayes","Finance","262005-PDF-ENG","Concerns a loan that has gone bad."
509,497,"Continental Airlines--1992 (Abridged)","Stuart C. Gilson; Sam J. Karam","Finance","294058-PDF-ENG","The CEO is preparing a recommendation to the board regarding several potential outside investments in the company, which is currently operating in bankruptcy. In making his decision, the CEO has to consider various financial and strategic factors, including possible synergy benefits and support for the company's huge planned expenditures on new aircraft. To assess the relative merits of the competing investment proposals, it is also necessary to value the company's assets and prescribe a new capital structure for the company after it leaves Chapter 11. Tax factors are extremely important in the analysis. The final decision must be acceptable to the company's creditors and be compatible with allowed U.S. bankruptcy practices."
510,498,"PRG-Schultz International","Paul W. Marshall; James Weber","Finance","807126-PDF-ENG","PRG-Schultz will run out of cash within a couple of months unless the new CEO can reduce costs and restructure the company's debt. PRG was the dominant market leader in the audit recovery industry. The industry consisted of firms which employed accounting professionals to audit purchasing transactions to discover and collect funds owed to their clients. PRG had historically been profitable, and clients were satisfied with their service. In recent years, however, the industry overall and PRG's sales, had been in decline. This left PRG with a cost base that was no longer sustainable. The CEO must decide where to cut costs and how to convince creditors to give the company the time it needs to turn around. A bankruptcy reorganization is one option open to the company. Describes the audit recovery industry, the company's history, the CEO, the financial problems the company faced, and the first steps taken by the CEO to save the company."
511,499,"Gone Rural","Andre F. Perold","Finance","211016-PDF-ENG","Gone Rural employs 750 women in rural communities across Swaziland to produce handwoven baskets and other hand-crafted items. The women are mostly grandmothers caring for children orphaned as a result of the country's high AIDS-related death rate. The company has a strong social mission to improve the economic situation of these women and wants to grow rapidly. It has been very successful designing, making, and selling its products in the high-end global market place. It now needs to raise significant external capital to build new facilities. This may be the first time in its 18-year history that the company brings in external profit-minded stakeholders."
512,500,"Mike Finkelstein (B)","Carliss Y. Baldwin; Charles Bryan; Ken Leet","Finance","287021-PDF-ENG","Following his successful turnaround of WTXX, Waterbury, Mike Finkelstein joined Odyssey Partners with a mandate to build a communications company. From 1982-1985, he acquired three more stations, financing each as an independent partnership. However, increasing competition has caused some of his stations to experience cash shortfalls. Finkelstein must decide whether to sell the stations, hold and finance them out of Odyssey Partners capital, or incorporate them into a single company with a new financial structure based on zero coupon bonds."
513,501,"Morgan Stanley and TRAC-X: The Battle for the CDS Indexes Market","George Chacko; Vincent Dessain; Anders Sjoman; Leonie Maruani","Finance","205075-PDF-ENG","Morgan Stanley's credit derivatives business, specifically its collateralized debt obligation (CDO) business, has been hugely successful. One of its leading offerings is the TRAC-X product, jointly created and marketed by Morgan Stanley and JP Morgan. However, a new competitor, iBoxx, has entered the picture by offering a similar synthetic CDO product. Lisa Watkinson at Morgan Stanley must now decide how to respond to this new competition."
514,502,"China Life: Microinsurance for the Poor","Shawn Cole; Lilei Xu","Finance","212030-PDF-ENG","China Life must decide whether to accept the government's ""invitation"" to develop a microinsurance product for the rural poor. Can it be done profitably?"
201,503,"Loewen Group, Inc.","Stuart C. Gilson; Jose Camacho","Finance","201062-PDF-ENG","A publicly traded funeral home and cemetery consolidator faces imminent financial distress. The company has aggressively grown through use of debt. Restructuring the debt is potentially very costly to creditors, shareholders, suppliers, and other corporate stakeholders. Cross-border and accounting issues potentially complicate the restructuring."
516,504,"Restructuring at Nova Chemical Corporation","Scott P. Mason","Finance","208107-PDF-ENG","Management of a diversified chemicals company faces two financial decisions: whether to finance a major investment in new production facilities for its rapidly expanding Environmental Products Division, and whether to sell a more slowly growing non-specialty chemicals division. the latter decision has implications for how the new investment, if it is undertaken, should be financed. Financing options available to the firm include bank borrowing, issuing convertible debt, and selling new common stock in the public market."
517,505,"American Barrick Resources Corp.: Managing Gold Price Risk","Peter Tufano; Jon D. Serbin","Finance","293128-PDF-ENG","Managing the risk of changing prices of gold is central to the business strategy of American Barrick Resources Corp., one of North America's largest and most successful gold-mining firms. The case contrasts this firm's hedging policies with those of its rivals that do not hedge and details the wide range of hedging products (gold loans, forwards, options, spot deferred contracts) used to manage price risk. In 1992 the management of American Barrick is pleasantly surprised by unexpected new gold finds, but this new production places demands on the firm's hedging program and tests the firm's commitment to hedging when prices of gold and of many hedging vehicles are unattractive."
518,506,"The Madera Ranch and Water Bank","Andre F. Perold; Geoffrey Bernstein","Finance","213003-PDF-ENG","The protagonist is trying to decide whether to purchase and develop an aquifer lying beneath rural land near Fresno, California. The project could fill a void for local farmers as well as surrounding municipalities and a variety of other customers throughout California."
519,507,"Pension Policy at the Boots Co. PLC","Luis M. Viceira; Akiko M. Mitsui","Finance","203105-PDF-ENG","In early 2000, the trustees of the pension scheme at Boots considered a proposal to move 100% of the pension assets into a bond portfolio, which would be passively managed. The Boots Co. PLC was a leading retailer of cosmetics and toiletries in the United Kingdom, and the company pension scheme was one of the largest in the country, with 2.3 billion British pounds in assets. If implemented, Boots would depart significantly from its prior pension investment strategy, which had been similar to that of other large U.K. pension funds. In general, such funds used external managers for active and passive portfolios of roughly 75% equities, 17% bonds, 4% real estate, and 4% cash. This unprecedented investment policy change would more closely align pension assets and liabilities and, according to long-standing academic principles of corporate pension fund management, it might also have significant effects on Boots itself, its shareholders, and other stakeholders. In making their decision, the trustees would have to consider these effects as well as the practical feasibility of such a plan."
520,508,"Siebel Systems: The Role of the CFO","Malcolm P. Baker; Lauren Barley","Finance","205068-PDF-ENG","Mike Lawrie, the newly appointed CEO of Siebel Systems, considers a combination of growth and spending cuts to turn around the struggling software company. Focuses on the role of the chief financial officer, Ken Goldman, in corporate governance and compliance under Sarbanes-Oxley; in establishing a financial model for the firm; in operations and leadership; and in investor relations under Regulation FD. Goldman, who had presided over rapid growth at several other technology firms before joining Siebel three years earlier, must adapt to Siebel's new leadership and operating environment."
521,509,"Venture Capital in Ireland: Getting Their ACT Together","Paul A. Gompers; Catherine Conneely","Finance","298001-PDF-ENG","Analyzes the decisions of Niall Carroll, an Irish banker, to start a venture capital fund focused on Ireland. The context of the Irish markets and the nature of Irish opportunities are explored."
522,510,"Integral Capital Partners","Andre F. Perold; Markus F. Mullarkey","Finance","299019-PDF-ENG","Integral Capital Partners is a small firm with a very distinctive approach to investing in high-technology stocks. The firm invests privately in small start-ups as well as in publicly traded companies, and it develops important financial and advisory relationships with its investees. Integral is concerned about the high valuations in the technology sector and is considering a variety of options: to systematically engage in short-selling in order to hedge its positions, to purchase controlling stakes in troubled technology firms and execute turnaround strategies, and to reduce its funds under management and remain a small organization."
523,511,"SouthPark IV","William J. Poorvu; Richard E. Crum","Finance","390181-PDF-ENG","A young entrepreneur examines an 80,000 square foot office/warehouse building as a potential acquisition. The building is currently fully leased but all four leases will expire shortly. Due to changing market conditions, the protagonist has to look at current market conditions as well as trying to estimate future conditions in order to complete his analysis. The case is designed to explore basic issues in real estate valuations. The emphasis is on developing a simple set-up based on the project's cash flows and then examining how returns and values are affected by changing certain assumptions."
524,512,"Chad-Cameroon Petroleum Development and Pipeline Project (A)","Benjamin C. Esty; Carrie Ferman","Finance","202010-PDF-ENG","On June 6, 2000, the World Bank's and IFC's board of directors was scheduled to vote on whether to approve funding for the $4 billion Chad-Cameroon Petroleum Development and Pipeline project. Although the project presented a unique opportunity to alleviate poverty in Chad, one of the poorest countries in the world, Chad had a president who had been labeled ""warlord"" and a history of civil war and oppression. This case describes the project, the setting, and the World Bank's reasons for participating in the deal--mainly an opportunity to alleviate poverty, enforce environmental standards, and minimize the impact on indigenous people. It also describes the very public and very ardent opposition to the project's environmental, social, and revenue management policies. Faced with a high-risk, but potentially high-return opportunity to improve conditions in Chad, students, as the directors, must decide whether to approve funding for the deal."
525,513,"Eric Weston","Michael J. Roberts; James M. Sharpe","Finance","813045-PDF-ENG","Facing bankruptcy or keeping the doors open, Eric Weston assesses his continued survival in the retail garden supply business he has owned for seven years. Eric Weston is struggling to keep his garden supply business alive. Revenues are up slightly from last year but profits are down in a poor economy as he attempts to integrate an expensive recent acquisition. The deal he struck with the old owner restricts a number of his options and the banker has turned the loan over to the workout division. He feels that his suppliers are willing to work with him and his employees depend on him for their livelihood. At the banks request, an outside consultant has been brought in to make their recommendations. He has made personal guarantees to the bank, loan payments to the old owner are about to come due and Weston is faced with some unanticipated expenses. The company's cash situation is very tight and he is forced to evaluate the liquidation value of the company as he considers the actions to take to avoid failing in his dream to have his own business. The case is a rewritten version of a previous case 899-212, updating the dates and financial data to 2012 timeframe."
